team,archetype,player_count,vs_league_avg
PHI,Hustle Bigs,2,-0.053
PHI,Primary Ball Handlers,2,-0.02
PHI,3-and-D Wings,0,0.116
PHI,Rim Runners,1,-0.024
PHI,Secondary Scorers,1,0.085
PHI,Dominant Bigs,0,0.048
PHX,Developmental Wings,2,-0.037
PHX,Two-Way Forwards,0,0.102
PHX,Backup Facilitators,3,-0.096
PHX,Hustle Bigs,0,0.101
PHX,Primary Ball Handlers,2,-0.033
PHX,3-and-D Wings,1,0.032
PHX,Rim Runners,3,-0.197
PHX,Secondary Scorers,1,0.079
PHX,Dominant Bigs,0,0.048
POR,Developmental Wings,1,0.03
POR,Two-Way Forwards,2,-0.098
POR,Backup Facilitators,1,0.054
POR,Hustle Bigs,1,0.001
POR,Primary Ball Handlers,0,0.134
POR,3-and-D Wings,0,0.116
POR,Rim Runners,0,0.053
POR,Secondary Scorers,4,-0.238
POR,Dominant Bigs,1,-0.052
SAC,Developmental Wings,0,0.13
SAC,Two-Way Forwards,1,-0.009
SAC,Backup Facilitators,0,0.154
SAC,Hustle Bigs,1,-0.011
SAC,Primary Ball Handlers,1,0.023
SAC,3-and-D Wings,3,-0.218
SAC,Rim Runners,0,0.053
SAC,Secondary Scorers,2,-0.06
SAC,Dominant Bigs,1,-0.063
SAS,Developmental Wings,1,0.019
SAS,Two-Way Forwards,0,0.102
SAS,Backup Facilitators,1,0.043
SAS,Hustle Bigs,1,-0.011
SAS,Primary Ball Handlers,1,0.023
SAS,3-and-D Wings,1,0.005
SAS,Rim Runners,0,0.053
SAS,Secondary Scorers,3,-0.171
SAS,Dominant Bigs,1,-0.063
TOR,Developmental Wings,3,-0.12
TOR,Two-Way Forwards,1,0.019
TOR,Backup Facilitators,2,-0.013
TOR,Hustle Bigs,2,-0.066
TOR,Primary Ball Handlers,1,0.051
TOR,3-and-D Wings,0,0.116
TOR,Rim Runners,0,0.053
TOR,Secondary Scorers,2,-0.005
TOR,Dominant Bigs,1,-0.035
UTA,Developmental Wings,4,-0.156
UTA,Two-Way Forwards,2,-0.04
UTA,Backup Facilitators,2,0.011
UTA,Hustle Bigs,1,0.029
UTA,Primary Ball Handlers,0,0.134
UTA,3-and-D Wings,0,0.116
UTA,Rim Runners,0,0.053
UTA,Secondary Scorers,4,-0.124
UTA,Dominant Bigs,1,-0.023
WAS,Developmental Wings,3,-0.17
WAS,Two-Way Forwards,0,0.102
WAS,Backup Facilitators,1,0.054
WAS,Hustle Bigs,1,0.001
WAS,Primary Ball Handlers,1,0.034
WAS,3-and-D Wings,0,0.116
WAS,Rim Runners,1,-0.047
WAS,Secondary Scorers,3,-0.138
WAS,Dominant Bigs,0,0.048
